market_key,taker_pnl_gross,taker_pnl_net,taker_fees,maker_pnl_net,maker_fees,notional_settled,contracts_settled,n_days
KXNBAGAME-26APR29TORCLE,-1212872.81,-1452259.26,239386.45,1152784.4,60088.41,10174361.81,22235030,3
KXWCGAME-26JUL04PARFRA,-103719.83,-262175.93,158456.1,103719.83,0.0,9237350.83,21946582,5
KXWCADVANCE-26JUL07SUICOL,-3070433.96,-3432561.67,362127.71,3070433.96,0.0,11576403.96,21815851,4
KXNBAGAME-26MAY04PHINYK,-1509806.85,-1724650.58,214843.73,1455841.57,53965.28,10028731.85,21796244,3
KXPGATOUR-ISC26,-349538.84,-443705.42,94166.58,325637.1,23901.74,4831912.84,21384869,8
KXNBAGAME-26MAY05CLEDET,-775343.71,-1027856.81,252513.1,711941.64,63402.07,10196294.71,21364322,2
KXIPLGAME-26MAY291000RRGT,1363279.23,1096430.06,266849.17,-1363279.23,0.0,10037699.77,21245895,3
KXKY4R-26,-1156040.73,-1324032.15,167991.42,1156040.73,0.0,7941589.73,21100749,35
KXIPLGAME-26MAY06PBKSSRH,-1223290.98,-1445485.44,222194.46,1223290.98,0.0,9249919.98,20969669,9
KXMVESPORTSMULTIGAMEEXTENDED-S202609506CD2247,-2165290.8,-2313718.37,148427.57,2165290.8,0.0,3389964.8,20844018,5
KXWCGAME-26JUN29NEDMAR,-1115115.83,-1342388.91,227273.08,1115115.83,0.0,9034019.83,20805247,4
KXUCLGAME-26MAY30PSGARS,-3714829.29,-4008068.3,293239.01,3641164.04,73665.25,8854685.29,20780306,24
KXWCGAME-26JUL03AUSEGY,-50600.36,-296447.5,245847.14,50600.36,0.0,8921415.36,20741294,7
KXIPLGAME-26MAY16GTKKR,-1218823.24,-1425919.43,207096.19,1218823.24,0.0,9303572.24,20728475,9
KXNBAGAME-26APR24BOSPHI,-1104831.61,-1343370.86,238539.25,1044920.37,59911.24,9143038.61,20695164,9
KXNBAGAME-26MAY10NYKPHI,1069442.18,886231.65,183210.53,-1115430.24,45988.06,10957084.82,20619892,9
KXNBAGAME-26APR22ORLDET,-1244580.02,-1435990.85,191410.83,1196502.78,48077.24,7266030.02,20550731,5
KXMVESPORTSMULTIGAMEEXTENDED-S2026014389D4A53,420426.33,398158.3,22268.03,-420426.33,0.0,633467.67,20338566,11
KXWCSCORE-26JUL03ARGCPV,-1261178.33,-1405162.94,143984.61,1261178.33,0.0,5061853.33,20244069,3
KXIPLGAME-26APR30RCBGT,-1055694.08,-1235319.9,179625.82,1055694.08,0.0,8549922.08,20211868,9
KXWCGAME-26JUN17PORCOD,-7254727.91,-7426408.59,171680.68,7254727.91,0.0,10892891.91,20098686,27
KXWCADVANCE-26JUL01USABIH,-421912.82,-618557.16,196644.34,421912.82,0.0,9516133.82,20057073,6
KXNBAGAME-26APR18MINDEN,-147572.44,-369768.78,222196.34,91778.72,55793.72,9419308.44,19973409,4
KXIPLGAME-26MAY221000RCBSRH,-343033.37,-554989.33,211955.96,343033.37,0.0,9217161.37,19973134,9
KXWCGAME-26JUL01ENGCOD,-1082297.67,-1295227.06,212929.39,1082297.67,0.0,9285404.67,19959261,5
KXIPLGAME-26MAY261000GTRCB,-1150113.78,-1360203.67,210089.89,1150113.78,0.0,8877518.78,19510910,5
KXATPMATCH-26MAY29RUUPAU,-468584.42,-753899.95,285315.53,397033.49,71550.93,10082130.42,19365144,3
KXIPLGAME-26MAY14MIPBKS,-83816.55,-370957.84,287141.29,83816.55,0.0,9462915.55,19352304,9
