date,contracts_settled,contracts_total,pnl_gross,fees_maker,pnl_net,pct_settled
2026-05-03,526248601,572652179,1250413.51,482305.1,768108.41,91.9
2026-05-04,509646074,516745429,341950.82,543100.58,-201149.76,98.63
2026-05-05,526480822,536789929,6498253.66,529386.9,5968866.76,98.08
2026-05-06,542158672,549887077,7243109.44,584477.75,6658631.69,98.59
2026-05-07,548378430,555885411,1762643.93,553367.91,1209276.02,98.65
2026-05-08,556139498,565239410,3994533.2,620141.99,3374391.21,98.39
2026-05-09,712093677,720380664,-3674213.84,702150.87,-4376364.71,98.85
2026-05-10,681311456,687100092,4033587.75,704551.07,3329036.68,99.16
2026-05-11,507774398,514407267,9729079.11,445349.15,9283729.96,98.71
2026-05-12,521236026,529044395,867031.99,486581.51,380450.48,98.52
2026-05-13,509411087,516809514,6595653.18,463819.19,6131833.99,98.57
2026-05-14,482936316,494532663,1798728.39,278341.72,1520386.67,97.66
2026-05-15,574858149,582614243,962051.27,438797.55,523253.72,98.67
2026-05-16,579739241,584981665,9064900.65,311023.92,8753876.73,99.1
2026-05-17,598190201,604357093,-378521.05,526527.74,-905048.79,98.98
2026-05-18,494773155,502608122,-1166837.35,644404.01,-1811241.36,98.44
2026-05-19,557178717,569228736,-11427327.41,634469.67,-12061797.08,97.88
2026-05-20,588789888,597874804,2409282.04,649376.59,1759905.45,98.48
2026-05-21,502429432,511752109,3820750.24,504892.61,3315857.63,98.18
2026-05-22,571882803,580619454,8657461.87,593801.81,8063660.06,98.5
2026-05-23,584278630,592968255,-2084825.68,521173.97,-2605999.65,98.53
2026-05-24,663923151,672086266,11702117.05,699798.5,11002318.55,98.79
2026-05-25,546917468,554564995,37990.84,649996.7,-612005.86,98.62
2026-05-26,484919563,495296434,3420862.85,566824.37,2854038.48,97.9
2026-05-27,544628613,555036529,-210998.47,438897.09,-649895.56,98.12
2026-05-28,539226334,551920499,2389818.94,618726.4,1771092.54,97.7
2026-05-29,576946378,586819172,-2630444.15,534812.83,-3165256.98,98.32
2026-05-30,790104376,800616923,2293913.49,1090676.64,1203236.85,98.69
2026-05-31,577660291,589518243,308060.71,449099.66,-141038.95,97.99
2026-06-01,485532319,505670624,7188886.94,394050.51,6794836.43,96.02
2026-06-02,365113551,580038287,3700830.78,267878.24,3432952.54,62.95
2026-06-03,536645047,738674438,6243535.16,620652.71,5622882.45,72.65
2026-06-04,374792717,563769942,4744404.28,260587.59,4483816.69,66.48
2026-06-05,690420977,777991332,-2405760.16,679677.74,-3085437.9,88.74
2026-06-06,547822434,656286666,2692608.31,326050.52,2366557.79,83.47
2026-06-07,164551401,611108187,-1039479.71,99996.86,-1139476.57,26.93
2026-06-08,394035963,694882802,-7715467.11,334272.67,-8049739.78,56.71
2026-06-09,477857643,661240942,381014.22,394502.58,-13488.36,72.27
2026-06-10,630388416,872724526,-20155816.22,659954.18,-20815770.4,72.23
2026-06-11,493935523,773993164,-12515210.3,217066.01,-12732276.31,63.82
2026-06-12,355283342,916344206,-12446848.89,212674.32,-12659523.21,38.77
2026-06-13,1127923525,1224773663,13166803.88,866605.93,12300197.95,92.09
2026-06-14,576803843,1236153292,5860005.04,41597.3,5818407.74,46.66
2026-06-15,668340065,1109617874,6712781.82,195288.22,6517493.6,60.23
2026-06-16,830303387,1053293180,-17254695.44,272505.23,-17527200.67,78.83
2026-06-17,314169528,1340319633,15067527.12,68718.43,14998808.69,23.44
