report_ticker,pnl_gross,pnl_net,fees_taker,fees_maker,contracts_settled,n_days
KXLEAGUESCUPGAME,355007.49,169181.71,185825.78,0.0,20106302,9
KXATPEXACTMATCH,-318284.72,-533594.63,215309.91,0.0,19942956,91
KXCODGAME,-157748.35,-387241.16,229492.81,0.0,19771506,77
KXALLSVENSKANGAME,-21891.41,-197448.46,175557.05,0.0,19616247,76
KXLIGAMXTOTAL,-82084.84,-308352.11,226267.27,0.0,19258200,52
KXUSLGAME,-291219.01,-470355.39,179136.38,0.0,19064350,93
KXUFCVICROUND,-547085.44,-684444.3,137358.86,0.0,19006267,43
KXTRUMPMENTIONB,-259154.23,-349332.46,90178.23,0.0,18993458,43
KXPERLIGA1GAME,-118063.45,-275266.41,157202.96,0.0,18634839,56
KXLALIGATOTAL,164789.19,-67996.3,232785.49,0.0,18192069,40
KXNBAMENTION,-298921.11,-435210.64,136289.53,0.0,18158713,60
KXPGATOP5,-319126.2,-488362.48,169236.28,0.0,17872265,110
KXHIGHCHI,-8531.05,-123669.89,115138.84,0.0,17621264,113
KXURYPDGAME,-147271.8,-321240.46,173968.66,0.0,17362784,75
KXLIUSAELIMINATIONW,-211908.69,-284579.1,72670.41,0.0,17148881,42
KXMLBTB,-421200.29,-641208.44,220008.15,0.0,16958212,112
KXWCAWARD,-442370.11,-540981.62,98611.51,0.0,16603358,65
KXGOVCA,-8564.34,-61753.28,53188.94,0.0,16471377,56
KXAAAGASW,-179656.4,-264593.63,84937.23,0.0,16420954,110
KXWCSTAGEOFELIM,-501254.88,-656580.58,155325.7,0.0,16355003,73
KXELITESERIENGAME,-128999.74,-269983.86,140984.12,0.0,16286975,66
KXWCMATCHUP,-544134.5,-673857.82,129723.33,0.0,16206283,17
KXATPGTOTAL,-117922.7,-337177.36,219254.66,0.0,16194807,91
KXSURVIVOR,-146611.56,-185716.34,39104.78,0.0,16193073,36
KXTESTMATCH,-233135.04,-388607.16,155472.12,0.0,16033594,59
KXLIUSACOUPLE,-233635.79,-295127.33,61491.54,0.0,15846107,45
KXPSLGAME,142225.6,-19235.98,161461.58,0.0,15810295,19
KXWCMOF,-423427.06,-575337.38,151910.32,0.0,15545009,24
KXLPGATOUR,12421.3,-96586.35,109007.66,0.0,15043301,92
KXAAAGASD,-124206.54,-232123.75,107917.21,0.0,14971199,112
KXCBAGAME,-116332.13,-263772.97,147440.84,0.0,14884822,49
KXVOTEPRIMARY,-206612.42,-262833.66,56221.24,0.0,14695667,99
KXWCGROUPWIN,397319.63,241959.04,155360.59,0.0,14636720,74
KXLALIGA2GAME,122018.13,-2938.22,124956.35,0.0,14541301,59
KXFOWOMEN,-323787.64,-443047.38,119259.74,29982.8,14452434,53
KXLOVEISLMENTION,-182140.43,-217731.1,35590.67,0.0,14293202,42
KXAPFDDHGAME,-95588.11,-237595.14,142007.03,0.0,13979143,45
KXWCFINISHINGORDER,-1561220.55,-1713415.51,152194.96,0.0,13972546,7
KXBRENTD,37849.96,-111156.56,149006.52,0.0,13762068,110
KXATPGSPREAD,-273889.83,-465911.23,192021.4,0.0,13599056,91
KXEGYPLGAME,50552.02,-74445.66,124997.68,0.0,13313630,42
KXUFCDISTANCE,-33307.28,-203980.3,170673.02,0.0,13311643,44
KXTRUMPUFC,-285336.83,-311627.53,26290.7,0.0,13116419,65
