row_label,ALL_PARLAYS,Multi-game sports,Cross-category,NFL single game,NFL multi-game,NFL prepack,NBA single game,NCAAF prepack,CBB championship,Other,fees_ALL_PARLAYS,fees_Multi-game sports,fees_Cross-category,fees_NFL single game,fees_NFL multi-game,fees_NFL prepack,fees_NBA single game,fees_NCAAF prepack,fees_CBB championship,fees_Other,net_pnl_ALL_PARLAYS,net_pnl_Multi-game sports,net_pnl_Cross-category,net_pnl_NFL single game,net_pnl_NFL multi-game,net_pnl_NFL prepack,net_pnl_NBA single game,net_pnl_NCAAF prepack,net_pnl_CBB championship,net_pnl_Other,net_pnl_pct_ALL_PARLAYS,net_pnl_pct_Multi-game sports,net_pnl_pct_Cross-category,net_pnl_pct_NFL single game,net_pnl_pct_NFL multi-game,net_pnl_pct_NFL prepack,net_pnl_pct_NBA single game,net_pnl_pct_NCAAF prepack,net_pnl_pct_CBB championship,net_pnl_pct_Other
2025-09-17,33.81,0,0,0,0,0,0,0,0,33.81,1.76,0,0,0,0,0,0,0,0,1.76,-35.57,0,0,0,0,0,0,0,0,-35.57,-105.21,,,,,,,,,-105.21
2025-09-18,115.64,0,0,0,0,0,0,0,0,115.64,7.49,0,0,0,0,0,0,0,0,7.49,-123.13,0,0,0,0,0,0,0,0,-123.13,-106.48,,,,,,,,,-106.48
2025-09-19,7.83,0,0,0,0,0,0,0,0,7.83,0.46,0,0,0,0,0,0,0,0,0.46,-6.29,0,0,0,0,0,0,0,0,-6.29,-80.33,,,,,,,,,-80.33
2025-09-20,3613.85,0,0,0,0,0,0,0,0,3613.85,180.6,0,0,0,0,0,0,0,0,180.6,-3623.45,0,0,0,0,0,0,0,0,-3623.45,-100.27,,,,,,,,,-100.27
2025-09-21,7396.32,0,0,0,0,0,0,0,0,7396.32,271.21,0,0,0,0,0,0,0,0,271.21,-4697.53,0,0,0,0,0,0,0,0,-4697.53,-63.51,,,,,,,,,-63.51
2025-09-23,19.7,0,0,0,0,0,0,0,0,19.7,1.18,0,0,0,0,0,0,0,0,1.18,30.12,0,0,0,0,0,0,0,0,30.12,152.89,,,,,,,,,152.89
2025-09-24,474.41,0,0,0,0,0,0,0,0,474.41,23.67,0,0,0,0,0,0,0,0,23.67,-427.08,0,0,0,0,0,0,0,0,-427.08,-90.02,,,,,,,,,-90.02
2025-09-25,2158.6,0,0,0,0,0,0,0,0,2158.6,121.45,0,0,0,0,0,0,0,0,121.45,-991.86,0,0,0,0,0,0,0,0,-991.86,-45.95,,,,,,,,,-45.95
2025-09-26,2567.71,0,0,0,0,0,0,0,0,2567.71,121.2,0,0,0,0,0,0,0,0,121.2,-2585.91,0,0,0,0,0,0,0,0,-2585.91,-100.71,,,,,,,,,-100.71
2025-09-27,2558.87,0,0,0,0,0,0,0,0,2558.87,141.07,0,0,0,0,0,0,0,0,141.07,-1836.92,0,0,0,0,0,0,0,0,-1836.92,-71.79,,,,,,,,,-71.79
2025-09-28,17788.46,0,0,2.59,0,0,0,0,0,17785.87,850.84,0,0,0.17,0,0,0,0,0,850.67,-9381.92,0,0,-2.76,0,0,0,0,0,-9379.16,-52.74,,,-106.56,,,,,,-52.73
2025-09-29,43931.34,0,0,34811.94,0,0,0,0,0,9119.4,2155.77,0,0,1762.01,0,0,0,0,0,393.76,-2280.11,0,0,-2226.95,0,0,0,0,0,-53.16,-5.19,,,-6.4,,,,,,-0.58
2025-10-01,3999.02,0,0,3999.02,0,0,0,0,0,0,199.79,0,0,199.79,0,0,0,0,0,0,-2331.81,0,0,-2331.81,0,0,0,0,0,0,-58.31,,,-58.31,,,,,,
2025-10-02,84789.83,0,0,84789.83,0,0,0,0,0,0,3921.19,0,0,3921.19,0,0,0,0,0,0,-52406.02,0,0,-52406.02,0,0,0,0,0,0,-61.81,,,-61.81,,,,,,
2025-10-03,22588.3,0,0,6106.79,16481.51,0,0,0,0,0,1190.31,0,0,341.78,848.53,0,0,0,0,0,-15138.61,0,0,-1959.57,-13179.04,0,0,0,0,0,-67.02,,,-32.09,-79.96,,,,,
2025-10-04,44786.62,0,0,11438.46,33348.16,0,0,0,0,0,2573.3,0,0,616.45,1956.85,0,0,0,0,0,-26282.92,0,0,-5156.91,-21126.01,0,0,0,0,0,-58.68,,,-45.08,-63.35,,,,,
