group,price_bin,n_trades,n_contracts,sum_price,yes_trades,yes_contracts,actual_win_rate,actual_win_rate_wt,implied_prob,calib_error
SPORTS_NON_PARLAY,25,20400295,3180662932,551685513.3,5167087,820547842,0.25328491573283624,0.257980131671494,0.275,-0.01701986832850605
SPORTS_NON_PARLAY,30,21641170,3352559440,692679837.4,6730084,1061989150,0.31098521937584706,0.31676967075638185,0.325,-0.008230329243618162
SPORTS_NON_PARLAY,35,22497863,3491626147,833372446.7,7965409,1258315678,0.3540518048314189,0.3603809872603752,0.375,-0.014619012739624793
SPORTS_NON_PARLAY,40,24235117,3778081764,1018917451.0,10043859,1566365221,0.41443410403176517,0.4145927269031968,0.425,-0.010407273096803171
SPORTS_NON_PARLAY,45,29773108,4912463910,1401930267.7,13870870,2315616449,0.46588585914510505,0.47137576813261517,0.475,-0.0036242318673848084
SPORTS_NON_PARLAY,50,31572090,5581717241,1641710799.9,15659692,2789550482,0.4959979526220786,0.4997656387015825,0.525,-0.025234361298417496
SPORTS_NON_PARLAY,55,26893984,4528050461,1530686828.7,14754126,2489852400,0.5486032117814899,0.5498729357026925,0.575,-0.02512706429730749
SPORTS_NON_PARLAY,60,22718576,3651349314,1407780212.0,13860149,2219973720,0.6100800067750726,0.6079872203648604,0.625,-0.017012779635139585
SPORTS_NON_PARLAY,65,19890541,3187641135,1331522091.0,13287764,2121128685,0.6680443734536934,0.6654226731203229,0.675,-0.009577326879677162
SPORTS_NON_PARLAY,70,17101835,2817463171,1231065425.3,12244442,2014386332,0.7159724088087623,0.7149645655474657,0.725,-0.010035434452534298
SPORTS_NON_PARLAY,75,15957094,2679838135,1227992677.0,12262047,2064143867,0.7684386016651904,0.7702494565030884,0.775,-0.004750543496911619
SPORTS_NON_PARLAY,80,15278058,2663266892,1252736680.5,12398300,2150428191,0.8115102063364336,0.8074399893827839,0.825,-0.017560010617216015
SPORTS_NON_PARLAY,85,15490802,2845338694,1347979859.5,13376054,2462671880,0.86348363370728,0.865510979481306,0.875,-0.009489020518694047
SPORTS_NON_PARLAY,90,15831035,3165147137,1457291144.6999965,14528115,2908599714,0.9176983690579927,0.9189461304970606,0.925,-0.006053869502939402
SPORTS_NON_PARLAY,95,21286208,4775191828,2069736501.9000034,20610636,4645881270,0.9682624542614636,0.9729203427510975,0.975,-0.0020796572489024667
NON_SPORTS,0,20537751,3973823640,45035016.799999915,285966,37669768,0.013923919907296568,0.009479476547680913,0.025,-0.015520523452319088
NON_SPORTS,5,16231147,1773517568,112963588.59999318,874379,81499805,0.05387043811506359,0.045953762438286715,0.075,-0.029046237561713283
NON_SPORTS,10,12752001,1185566015,152937329.0,1253766,108736898,0.09831915791098197,0.09171728661604728,0.125,-0.03328271338395272
NON_SPORTS,15,12352959,1030255128,209755426.0,1801158,142176183,0.14580781819157662,0.13800094669366209,0.175,-0.0369990533063379
NON_SPORTS,20,12101246,924766416,265951050.3,2385956,180434902,0.19716614305667368,0.19511402974651276,0.225,-0.029885970253487243
NON_SPORTS,25,12227388,882972289,330216614.5,3066711,223667276,0.25080671358429124,0.2533117729587095,0.275,-0.02168822704129053
NON_SPORTS,30,12735978,881886823,407381575.1,3855734,267056768,0.30274345637217653,0.3028243092367874,0.325,-0.02217569076321263
NON_SPORTS,35,13194559,905665325,488398257.0,4668601,314725462,0.3538277406618895,0.347507465851141,0.375,-0.027492534148858994
NON_SPORTS,40,13771534,960695174,578415732.0,5551300,360897111,0.4030996111253837,0.37566245856877806,0.425,-0.04933754143122193
NON_SPORTS,45,14541362,965138047,683459301.0,6638280,426904728,0.4565101948496984,0.4423250428547244,0.475,-0.032674957145275574
NON_SPORTS,50,14421043,945579327,748942110.0,7364256,492703096,0.5106604286527681,0.5210595049314144,0.525,-0.0039404950685856255
NON_SPORTS,55,13806035,931819650,786435594.0,7810840,564332375,0.5657554830188393,0.6056240335777422,0.575,0.030624033577742238
NON_SPORTS,60,12946429,856029834,801791901.0,7992395,548924131,0.6173435933569017,0.6412441590207474,0.625,0.016244159020747384
NON_SPORTS,65,12118706,785981747,811306144.0,8101247,531387504,0.6684910913755974,0.6760812271127716,0.675,0.0010812271127715878
NON_SPORTS,70,11361285,752376014,817466662.8,8183211,544699204,0.7202716066008379,0.7239720483699524,0.725,-0.001027951630047541
NON_SPORTS,75,11319711,788819206,870809694.4,8747906,612929073,0.7728029452342026,0.7770209806478774,0.775,0.0020209806478773684
NON_SPORTS,80,11110155,810587016,910655298.0,9176801,677511424,0.8259831658514215,0.8358281228625059,0.825,0.010828122862505896
NON_SPORTS,85,11868294,920950970,1032830036.9,10395353,816662528,0.8758927778499589,0.8867600497776771,0.875,0.011760049777677084
NON_SPORTS,90,14638139,1204863999,1347770963.3999982,13526492,1121152242,0.9240581743348659,0.9305218206623501,0.925,0.005521820662350074
NON_SPORTS,95,23949446,2669647609,2333302522.200327,23345913,2615095578,0.974799709354446,0.9795658307800279,0.975,0.004565830780027924
