date,report_ticker,side,contracts_settled,notional_settled
2026-04-15,KXRANKLISTSONGSPOTUSA,yes,3910,1222.93
2026-04-15,KXRANKLISTSONGSPOTUSA,no,7664,3771.04
2026-04-15,KXRANKLISTSONGSPOTGLOBAL,yes,7892,5840.05
2026-04-15,KXRANKLISTSONGSPOTGLOBAL,no,4448,4215.57
2026-04-15,KXRANKLIST1SONG,yes,71837,854.46
2026-04-15,KXRANKLIST1SONG,no,931,921.69
2026-04-15,KXRAINSFOM,yes,2341,903.35
2026-04-15,KXRAINSFOM,no,2986,2443.61
2026-04-15,KXRAINSEAM,yes,529,306.8
2026-04-15,KXRAINSEAM,no,1005,344.47
2026-04-15,KXRAINNYCM,yes,1170,573.38
2026-04-15,KXRAINNYC,yes,1438,1028.67
2026-04-15,KXPSASQUASH,no,28542,21862.19
2026-04-15,KXPSAKIMENTION,yes,10413,104.13
2026-04-15,KXPSAKIMENTION,no,323,3.23
2026-04-15,KXPGAR1TOP10,no,426,293.24
2026-04-15,KXPGAR1LEAD,yes,429936,11793.13
2026-04-15,KXPGAR1LEAD,no,7611,7515.48
2026-04-15,KXPGAPLAYOFF,yes,5413,1028.47
2026-04-15,KXPGAPLAYOFF,no,12,9.84
2026-04-15,KXPGAMAJORWIN,yes,2857,775.73
2026-04-15,KXPGAMAJORWIN,no,550,408.31
2026-04-15,KXPGAMAJORTOP10,yes,3196,928.03
2026-04-15,KXPGAMAJORTOP10,no,537,386.2
2026-04-15,KXPGAHOLEINONE,yes,6294,1801.47
2026-04-15,KXPGAHOLEINONE,no,821,680.42
2026-04-15,KXPGAH2H,yes,37761,18626.47
2026-04-15,KXPGAH2H,no,1451,738.16
2026-04-15,KXPERUPRESMATCHUP,yes,16815,8735.94
2026-04-15,KXPERUPRESMATCHUP,no,14665,11673.61
2026-04-15,KXPERUPRES2ND,yes,58176,25862.18
2026-04-15,KXPERUPRES2ND,no,42737,24550.81
2026-04-15,KXPERUPRES1RMOV,yes,1686,1110.78
2026-04-15,KXPERUPRES1RMOV,no,1834,1078.34
2026-04-15,KXPERUPRES1R,yes,3200,387.69
2026-04-15,KXPERUPRES1R,no,2699,26.99
2026-04-15,KXPERUPRES,yes,161304,40977.12
2026-04-15,KXPERUPRES,no,265138,205981.28
2026-04-15,KXPERUCONGRESS,no,1197,1171.59
2026-04-15,KXPERSONPUBLIC,yes,5,4.55
2026-04-15,KXPGAR1TOP10,yes,11644,3570.7
2026-04-15,KXPGAR1TOP5,no,2,1.95
2026-04-15,KXPGAR1TOP5,yes,1170,282.21
2026-04-15,KXPGAR2LEAD,yes,4871,825.35
2026-04-15,KXPRIMARYMOV,yes,544,75.31
2026-04-15,KXPRIMARYMOV,no,1,0.99
2026-04-15,KXPRICEINCREASEAPPLEMUSIC,yes,7,2.71
2026-04-15,KXPRESSBRIEFINGCOUNT,yes,398,168.26
2026-04-15,KXPRESSBRIEFINGCOUNT,no,104,78.4
2026-04-15,KXPREMIERLEAGUE,yes,24744,11623.33
2026-04-15,KXPREMIERLEAGUE,no,12854,7401.48
2026-04-15,KXPREMDARTS,yes,34,3.86
2026-04-15,KXPREMDARTS,no,309,290.16
