date,kalshi_category,pnl_gross,pnl_net,fees_taker,fees_maker,contracts_settled
2026-02-26,Non-parlay sports,-32480.27,-2941338.48,2908858.21,580388.57,269893942
2026-02-26,Other non-sports,-945.62,-1158.37,212.75,0.0,51888
2026-02-26,Parlays,94417.48,-155450.19,249867.67,0.0,33417077
2026-02-26,Politics,-62964.3,-80765.48,17801.18,0.0,2817075
2026-02-26,Science and Technology,-16021.6,-17501.25,1479.65,46.57,389505
2026-02-27,Climate and Weather,-14325.04,-28570.65,14245.61,0.0,2432861
2026-02-27,Companies,-4323.56,-4804.53,480.97,2.87,238092
2026-02-27,Crypto,-443953.06,-804295.6,360342.54,1.17,35941061
2026-02-27,Economics,63504.74,57492.85,6011.89,1011.37,1164272
2026-02-27,Elections,-2914.78,-4263.61,1348.83,0.0,124831
2026-02-27,Entertainment,6421.2,-4516.71,10937.91,0.0,1924968
2026-02-27,Financials,12010.09,2375.74,9634.35,0.0,1216545
2026-02-27,Mentions,40748.67,4377.35,36371.32,0.0,4428323
2026-02-27,Non-parlay sports,-866070.77,-3740259.79,2874189.02,546356.94,243121691
2026-02-27,Other non-sports,-957.25,-1060.92,103.67,0.0,36553
2026-02-27,Parlays,186755.98,-48032.03,234788.01,0.0,31735487
2026-02-27,Politics,-109668.8,-128967.82,19299.02,0.0,3011737
2026-02-27,Science and Technology,-297.26,-1014.68,717.42,32.49,271507
2026-02-28,Climate and Weather,-11760.26,-26036.89,14276.63,0.0,2673771
2026-02-28,Companies,-9265.2,-10054.56,789.36,0.0,688250
2026-02-28,Crypto,-198848.22,-544867.89,346019.67,3.86,35886513
2026-02-28,Economics,-18340.63,-23712.95,5372.32,450.73,969622
2026-02-28,Elections,-743.51,-1144.7,401.19,0.0,44949
2026-02-28,Entertainment,-20413.73,-30126.51,9712.78,0.0,1965114
2026-02-28,Financials,-2746.88,-2867.31,120.43,0.0,22170
2026-02-28,Mentions,14413.7,7121.09,7292.61,0.0,971397
2026-02-28,Non-parlay sports,-2051845.74,-6184674.67,4132828.93,796338.53,364934962
2026-02-28,Other non-sports,-211.66,-300.8,89.14,0.0,29646
2026-02-28,Parlays,675203.71,277988.92,397214.79,0.0,52556164
2026-02-28,Politics,18627.9,-23535.36,42163.26,0.0,5487630
2026-02-28,Science and Technology,-1526.64,-1681.57,154.93,4.21,121143
2026-03-01,Climate and Weather,-23230.42,-37159.04,13928.62,0.0,2847117
2026-03-01,Companies,-135.0,-561.08,426.08,0.32,408284
2026-03-01,Crypto,-6937.08,-331252.19,324315.11,0.0,32571807
2026-03-01,Economics,-69913.38,-81636.98,11723.6,398.16,2112115
2026-03-01,Elections,-2811.89,-3354.99,543.1,0.0,51075
2026-03-01,Entertainment,-19437.38,-42544.99,23107.61,0.0,3399535
2026-03-01,Financials,-17119.64,-18162.97,1043.33,0.0,104600
2026-03-01,Mentions,-68380.67,-79926.33,11545.66,0.0,2178899
2026-03-01,Non-parlay sports,-3114117.6,-6431302.41,3317184.81,612442.53,303532485
2026-03-01,Other non-sports,-297.83,-407.44,109.61,0.0,52556
2026-03-01,Parlays,-24477.49,-400121.54,375644.05,0.0,50130926
2026-03-01,Politics,22588.38,-14233.81,36822.19,0.0,4343854
2026-03-01,Science and Technology,-950.55,-1109.53,158.98,3.69,112295
2026-03-02,Climate and Weather,-5178.93,-19778.77,14599.84,0.0,2345030
2026-03-02,Companies,-309.87,-338.19,28.32,1.13,3449
2026-03-02,Crypto,-415567.11,-825294.72,409727.61,0.0,38915187
2026-03-02,Economics,11496.88,8431.11,3065.77,610.71,796125
2026-03-02,Elections,5144.4,2985.68,2158.72,0.0,198732
2026-03-02,Entertainment,-93385.92,-109021.26,15635.34,0.0,2328469
2026-03-02,Financials,62764.04,54095.38,8668.66,0.0,1352254
2026-03-02,Mentions,-246462.63,-304005.78,57543.15,0.0,8107596
2026-03-02,Non-parlay sports,-156573.3,-2378248.92,2221675.62,399999.94,195438940
2026-03-02,Other non-sports,-727.63,-807.47,79.84,0.0,35928
2026-03-02,Parlays,302497.19,54465.89,248031.3,0.0,29725131
2026-03-02,Politics,123899.92,91327.04,32572.88,0.0,3442419
2026-03-02,Science and Technology,-2451.22,-2784.01,332.79,12.99,134065
2026-03-03,Climate and Weather,1699.27,-15162.24,16861.51,0.0,3704962
2026-03-03,Companies,3255.51,2899.04,356.47,0.95,33501
2026-03-03,Crypto,-14429.28,-414753.27,400323.99,0.0,38760213
2026-03-03,Economics,12499.66,8463.9,4035.76,644.52,954038
2026-03-03,Elections,15345.83,7588.04,7757.79,0.0,813106
2026-03-03,Entertainment,-33245.45,-44956.22,11710.77,0.0,1864199
2026-03-03,Financials,4512.6,-1553.89,6066.49,0.0,1008352
2026-03-03,Mentions,-24757.32,-46960.84,22203.52,0.0,3078955
