market_key,market_name,kalshi_category,contracts,fees_total,n_outcomes,winner,winner_ticker,report_ticker,is_sports,top_outcome,i.market_name,i.fees_total,i.winner,i.winner_ticker
KXNCAAFGAME-25OCT04PSUUCLA,KXNCAAFGAME-25OCT04PSUUCLA,Sports,17869311,226150.950000002,2,"",KXNCAAFGAME-25OCT04PSUUCLA-UCLA,KXNCAAFGAME,TRUE,KXNCAAFGAME-25OCT04PSUUCLA-UCLA,KXNCAAFGAME-25OCT04PSUUCLA,226150.950000002,"",KXNCAAFGAME-25OCT04PSUUCLA-UCLA
KXPGATOUR-ATPBP26,AT&T Pebble Beach Pro-Am,Sports,17825688,437094.119999996,2,"",KXPGATOUR-ATPBP26-CMOR,KXPGATOUR,TRUE,KXPGATOUR-ATPBP26-SSCH,AT&T Pebble Beach Pro-Am,349089.100000001,"",KXPGATOUR-ATPBP26-CMOR
KXNFLGAME-25OCT05WASLAC,KXNFLGAME-25OCT05WASLAC,Sports,17732488,232273.250000005,2,"",KXNFLGAME-25OCT05WASLAC-WAS,KXNFLGAME,TRUE,KXNFLGAME-25OCT05WASLAC-LAC,KXNFLGAME-25OCT05WASLAC,232273.250000005,"",KXNFLGAME-25OCT05WASLAC-WAS
KXNCAAMBGAME-26MAR27TENNISU,KXNCAAMBGAME-26MAR27TENNISU,Sports,17701913,259890.659999997,2,"The following market refers to the team who wins the Tennessee at Iowa St. men's college basketball game originally scheduled for Mar 27, 2026. If this game is postponed or delayed, the market will remain open and close after the rescheduled game has finished (within two weeks). If the cancelled game is not played or is rescheduled further than two weeks out, the market will resolve to a fair price for each team in accordance with the rules. Kalshi is not affiliated,  associated,  authorized, endorsed by, or in any way officially connected with the NCAA. All trademarks, logos, and brand names are the property of their respective owners.",KXNCAAMBGAME-26MAR27TENNISU-TENN,KXNCAAMBGAME,TRUE,KXNCAAMBGAME-26MAR27TENNISU-ISU,KXNCAAMBGAME-26MAR27TENNISU,259890.659999997,"The following market refers to the team who wins the Tennessee at Iowa St. men's college basketball game originally scheduled for Mar 27, 2026. If this game is postponed or delayed, the market will remain open and close after the rescheduled game has finished (within two weeks). If the cancelled game is not played or is rescheduled further than two weeks out, the market will resolve to a fair price for each team in accordance with the rules. Kalshi is not affiliated,  associated,  authorized, endorsed by, or in any way officially connected with the NCAA. All trademarks, logos, and brand names are the property of their respective owners.",KXNCAAMBGAME-26MAR27TENNISU-TENN
KXNBAGAME-25OCT23DENGSW,KXNBAGAME-25OCT23DENGSW,Sports,17674013,331014.130000004,2,"",KXNBAGAME-25OCT23DENGSW-GSW,KXNBAGAME,TRUE,KXNBAGAME-25OCT23DENGSW-GSW,KXNBAGAME-25OCT23DENGSW,264650.129999999,"",KXNBAGAME-25OCT23DENGSW-GSW
PRESPARTYFULL-24-REC,,Politics,17669722,0,2,,,PRESPARTYFULL,FALSE,PRESPARTYFULL-24-REC-RPV,"",176918.509999999,"",""
KXNCAAFGAME-25DEC31MICHTEX,KXNCAAFGAME-25DEC31MICHTEX,Sports,17575487,250491.33,2,"",KXNCAAFGAME-25DEC31MICHTEX-TEX,KXNCAAFGAME,TRUE,KXNCAAFGAME-25DEC31MICHTEX-TEX,KXNCAAFGAME-25DEC31MICHTEX,250491.33,"",KXNCAAFGAME-25DEC31MICHTEX-TEX
KXNCAAFGAME-25OCT04DUKECAL,KXNCAAFGAME-25OCT04DUKECAL,Sports,17473648,219240.739999998,2,"",KXNCAAFGAME-25OCT04DUKECAL-DUKE,KXNCAAFGAME,TRUE,KXNCAAFGAME-25OCT04DUKECAL-CAL,KXNCAAFGAME-25OCT04DUKECAL,219240.739999998,"",KXNCAAFGAME-25OCT04DUKECAL-DUKE
KXNCAAMBGAME-26MAR19HOWMICH,KXNCAAMBGAME-26MAR19HOWMICH,Sports,17443177,35019.8300000011,1,"If Michigan wins the Howard at Michigan men's college basketball game originally scheduled for Mar 19, 2026, then the market resolves to Yes.",KXNCAAMBGAME-26MAR19HOWMICH-MICH,KXNCAAMBGAME,TRUE,KXNCAAMBGAME-26MAR19HOWMICH-HOW,KXNCAAMBGAME-26MAR19HOWMICH,35019.8300000011,"If Michigan wins the Howard at Michigan men's college basketball game originally scheduled for Mar 19, 2026, then the market resolves to Yes.",KXNCAAMBGAME-26MAR19HOWMICH-MICH
KXNCAAFGAME-26JAN02WAKEMSST,KXNCAAFGAME-26JAN02WAKEMSST,Sports,17442773,206135.459999998,2,"",KXNCAAFGAME-26JAN02WAKEMSST-WAKE,KXNCAAFGAME,TRUE,KXNCAAFGAME-26JAN02WAKEMSST-WAKE,KXNCAAFGAME-26JAN02WAKEMSST,206135.459999998,"",KXNCAAFGAME-26JAN02WAKEMSST-WAKE
