group,price_bin,n_trades,n_contracts,sum_price,yes_trades,yes_contracts,actual_win_rate,actual_win_rate_wt,implied_prob,calib_error,calib_error_qty,n_events,n_contracts_distinct,n_settle_days,g_eff,se_event_cents,se_event_cents_qty,se_day_cents,se_naive_cents,significant_2se
ALL_EX_ELECTION,60,234983,26941761,14558454,140472,16885204,0.5977964363379479,0.626729782065842,0.6195534996148657,-0.021757063276913652,0.006643975128425079,8798,22153,481,206.83448282707928,2.7650844856334933,6.361510332584016,2.860887659550087,0.10105228430210397,0
ALL_EX_ELECTION,65,231810,24829342,15523221,149058,16777741,0.6430179888701955,0.6757223369028467,0.6696527759803287,-0.02663478711015283,0.004905061116802371,8879,22544,487,441.89923707075394,1.910392066473197,4.732567340693288,1.7717632285927192,0.09944566868038769,0
ALL_EX_ELECTION,70,224677,24515308,16157239,159702,18525259,0.7108070697045091,0.7556608711585431,0.7191318648548806,-0.00832479515037851,0.036811373938275174,8869,22765,480,567.2105760409873,1.365673051433273,3.031840288003241,1.2391213248832895,0.0955835421888953,0
ALL_EX_ELECTION,75,223219,24374507,17171465,169136,19485432,0.7577132770955878,0.7994185072132947,0.7692653851150664,-0.011552108019469483,0.029311314481150763,8961,23718,483,1024.125001723944,1.0088848598080133,2.7287702178767157,0.9107392362756169,0.09061162110826614,0
ALL_EX_ELECTION,80,219116,24809833,17938796,177389,21002763,0.8095666222457512,0.8465499546087231,0.8186894612899104,-0.009122839044154682,0.027170982569693386,9095,24629,478,1183.240135599449,0.8413746199326533,2.478662598067009,0.888177951927892,0.08380863016565232,0
ALL_EX_ELECTION,85,228538,30534313,19875108,197399,27244951,0.8637469479911437,0.8922732599223699,0.8696631632376235,-0.005916215246479518,0.02205023410875435,9064,25881,476,967.192570025218,0.7545432160502913,2.4910040637814648,0.793117839269979,0.07170440403255403,0
ALL_EX_ELECTION,90,225019,36667911,20686025,205973,34916944,0.9153582586359374,0.9522479750755367,0.9193012590047952,-0.003943000368856388,0.0315287385747167,9123,27293,471,226.77490690037956,0.6505575197238743,1.274949184466667,0.6682973867358942,0.05855739584876748,0
ALL_EX_ELECTION,95,254978,55986928,24818293,248542,55107725,0.9747586066248853,0.9842962807318165,0.9733503674826848,0.0014082391422000156,0.009257266088969327,9294,31519,464,840.0309945013923,0.20571426243021848,0.3294762940759113,0.2018160744828743,0.030941580004652615,0
WEATHER,0,135558,21659842,393453,3249,573085,0.02396760058425176,0.02645841091546282,0.029024697915283493,-0.005057097331032535,-0.0012360708817730703,6421,21964,262,785.2742290766782,0.3029000856643317,0.8371844877008372,0.29222854941034215,0.041444425620979775,0
WEATHER,5,244936,23342441,1725671,16722,1550493,0.0682708952542705,0.06642377290361363,0.07045395531894046,-0.002183060064670096,-0.0030315741185765023,6925,26205,262,1338.5110364341144,0.469932003200385,0.8548319532406274,0.44675937697246476,0.05092777187242914,0
WEATHER,10,252744,19513981,2996563,28709,2331216,0.11358924445288514,0.11946388591851145,0.11856119235273636,-0.004971947899852128,0.0019520804084006672,7071,25989,262,1711.196669860317,0.52337416063612,1.0026259651286245,0.5002541289369058,0.0630747933093612,0
WEATHER,15,227664,16026668,3841284,37000,2727848,0.16252020521470237,0.1702068078030942,0.16872601728863587,-0.006205812073934094,0.001926023550247707,6988,23188,262,1880.3977745589013,0.5925693950605887,1.0184937385945783,0.550309351517309,0.07727180709984335,0
WEATHER,20,213709,14134989,4667579,46093,3190614,0.21568113649869683,0.22572454778705522,0.2184081625013453,-0.0027270260026481426,0.007529081204095862,6996,22340,262,2019.085961803468,0.6711587003853147,0.9942294764417948,0.6288424775316561,0.08892155257797793,0
WEATHER,25,200811,12938509,5393999,53778,3550467,0.2678040545587642,0.27441083049059206,0.2686107334757558,-0.0008066789169906119,0.0061036669681182746,6942,20971,263,2049.3381178936156,0.7777937877995806,1.0850941649416341,0.7154990921047941,0.09874475784944847,0
