report_ticker,is_sports,days_active,trades,contracts,yes_side_notional_volume,fees
COVIDBILL,FALSE,13,99,8537,813.86,48.6
KXSENATETARIFFVOTE,FALSE,1,36,8529,2410.58,15.79
KXQUORUMTX,FALSE,6,195,8518,6277.97,75.84
KXMLBWINS-TEX,TRUE,54,171,8513,4343.69,131.32
KXHILTONICE,FALSE,6,437,8504,3353.95,126.45
KXDRUGADS,FALSE,81,213,8493,891.03,55.57
KX538CALL,FALSE,17,82,8487,1021.15,48.9
KXANIMEBNS,FALSE,55,293,8477,3147.37,93.21
KXFDATYPE1DIABETES,FALSE,126,569,8476,2903.75,134.19
KXNEWOUTBREAKPMPOX,FALSE,103,198,8451,490.74,31.17
KXEULEADEROUT,FALSE,17,27,8446,7115.7,12.27
KXMONSANTODURNELL,FALSE,25,106,8430,6136.96,116.01
LCPIMAXYOY,FALSE,46,115,8428,541.11,32.18
KXBOSHOMEVAL,FALSE,24,186,8428,5627.43,77.25
KXNLDFOURTH,FALSE,21,268,8425,2888.48,100.1
KXBETBFHHA,FALSE,11,173,8422,1879.66,39.66
EMMYDACTR,FALSE,48,118,8421,3350.25,50.72
KXIPOBREX,FALSE,44,174,8416,988.73,52.72
KXBOLIVIADEPUTIES,FALSE,19,213,8407,2874.43,102.44
KXFDVSTABLE,FALSE,22,200,8398,2921.4,89.25
KXSCOTUSAICOPYRIGHT,FALSE,89,377,8395,1952.21,102.11
KXNOBELECON,FALSE,5,64,8377,452.57,28.93
KXIA03D,FALSE,24,56,8372,4102.09,11.02
KXPODCASTGUESTCALLHERDADDY,FALSE,106,312,8369,3262.02,121.14
KXIPOBEASTINDUSTRIES,FALSE,108,300,8364,1608.22,81.33
KXNBASERIESPTS,TRUE,5,207,8361,3817.15,106.14
KXFIFATRAVEL,TRUE,86,282,8348,1309.95,72.62
MINWAGE,FALSE,67,128,8347,461.74,30.79
KXWEN,FALSE,5,86,8346,1657.81,41.47
KXF1CHINA,TRUE,104,268,8341,953.7,58.55
KXELECTIONICOAST,FALSE,39,134,8328,6178.05,40.15
KXNEPMLEAVE,FALSE,10,28,8324,4695.21,120.34
CRED,FALSE,12,80,8305,1049.6,62.55
KXLIUKELIMINATIONW,FALSE,8,169,8297,1504.79,82.69
KXALPHAARENAAWARE,TRUE,6,44,8286,5414.29,100.52
KXMCSWEENEYOUT,FALSE,4,65,8277,5655.63,82.37
KXESGDPQOQF,FALSE,11,107,8276,4056,11.14
KXTERMLIMITS,FALSE,68,257,8270,664.93,43.44
KXLIUKCOUPLE,FALSE,5,540,8261,1108.19,58.91
HOUSEIN1,FALSE,52,113,8255,4082.63,111.5
KXATPRETURN,TRUE,16,316,8247,3505.78,59.14
VANRATENE,FALSE,7,30,8245,494.35,32.42
KXTARIFFSEU,FALSE,45,141,8242,6418.57,95.21
KXH200CHINA,FALSE,12,80,8241,6072.98,100.31
KXGOVIANOMD,FALSE,29,63,8237,3407,9.15
KXDATACENTER,FALSE,133,413,8212,4783.59,137.8
KXESPYGOLF,FALSE,13,143,8211,5581.56,64.11
KXTRUFPDEBT,FALSE,22,332,8211,6446.1,31.4
KXKATZOUT,FALSE,48,117,8208,1877.45,80.78
RAINHOU,FALSE,2,117,8194,6719.66,58.51
KXVOTERECISSION,FALSE,38,150,8189,3126.98,108.12
KXGRAMBAA,FALSE,18,63,8180,1443.51,27.12
KXANIMEBSC,FALSE,10,237,8176,2424.78,81.72
KXGRAMBMRP,FALSE,41,183,8170,2914.92,32.58
ISAMB,FALSE,23,79,8169,6013.04,79.97
KXBANKRUPTCY,FALSE,34,150,8166,4334.22,132.95
KXNFLEXACTWINSDEN,TRUE,46,114,8165,2910.37,61.48
KXUHCCONVICT,FALSE,2,123,8160,6693.77,84.4
KXMLBWINS-CLE,TRUE,53,210,8160,3620.06,122.64
KXTVSEASONANNOUNCE,FALSE,9,51,8159,7727.44,28.61
KXAINEURALESE,FALSE,65,190,8155,3489.87,138.63
KXMCMARIOKARTWORLD,FALSE,36,176,8145,4429.84,79.2
GOVPARTYMO,FALSE,55,133,8140,2663.81,59.99
KXHOMANMEX,FALSE,46,152,8139,1791.7,91.38
KXANIMEBIA,FALSE,47,281,8129,3392.41,63.78
KXFDARETATRUTIDE,FALSE,20,251,8126,3583.15,120.44
KXINJS,FALSE,46,109,8086,1076.17,63.58
KXUKGDPMOM,FALSE,22,198,8086,5551.61,83.14
KXETHE,FALSE,7,186,8059,5412.69,83.48
KXUSAMBFRANCE,FALSE,33,124,8055,4137.51,72.3
KXENDORSEPRATT,FALSE,20,201,8034,1358.97,69.95
TWOW,FALSE,79,130,8032,1246.76,70.39
MOOREUS,FALSE,41,79,8021,1502.19,76.64
KXMLBDRAFTPICK,TRUE,22,135,8008,3285.92,107.41
KXGRAMBOP,FALSE,13,42,8007,1221.47,31.04
KXNBA3PEAT,TRUE,5,109,8001,822.33,49.4
KXUSECDEFPOLICY,FALSE,16,227,7997,6988.99,57.98
KXF1SPRINTTOP10,TRUE,10,454,7997,3963.8,74.59
KXTOPTEN,FALSE,10,75,7982,679.03,42.07
KXTAXAPP,FALSE,75,152,7977,1111.7,64.78
KXDILLONMENTION,FALSE,7,243,7961,3852.94,67.86
KXDNIANNOUNCE,FALSE,8,121,7959,2730.14,96.94
KXAWARDSCOUNTLAS,FALSE,19,168,7957,4652.88,48.68
KXDJTMEXG7,FALSE,2,237,7948,1902.62,72.79
KXTOPALBUMMETROBOOMIN,FALSE,33,163,7948,1991.59,71
KXAMAFFPA,FALSE,6,211,7928,2626.58,73.02
KXGRAMBCC,FALSE,5,30,7916,5058.11,48.35
SENATEUT,FALSE,85,196,7914,4952.59,34.94
KXNEXTMANAGERCHELSEA,TRUE,6,112,7911,5590.25,51.45
KXNFLEXACTWINSNO,TRUE,26,61,7910,940.75,36.61
KXCONLEADER24,FALSE,6,39,7907,2799.4,57.71
KXMUSKVISIT,FALSE,87,177,7905,3080.4,109.65
KXAZPORNLAW,FALSE,7,55,7896,5275.2,88.93
KXITTFMENMATCH,TRUE,2,103,7895,6027.77,8.42
KXINXMAXM,FALSE,2,40,7883,7271.08,38.08
KXNFLWINS-HOU,TRUE,44,103,7882,3946.63,107.38
KXGRAMBLJEA,FALSE,15,71,7876,1935.23,64.3
KXRIHANNA,FALSE,100,299,7864,2526.91,101.97
KXNH1D,FALSE,76,216,7812,3348.45,123.02
KXBANKRUPTSY,FALSE,75,138,7789,6862.74,44.81
KXOZEMPICSHORT,FALSE,31,123,7786,5967.05,94.14
KXINXVSBTC,FALSE,8,103,7781,4342.97,115.31
KXINCOMERATE,FALSE,22,105,7780,4408.03,77.85
KXUSAMBITALY,FALSE,16,64,7767,6052.5,60.28
KXSCOTUSCERT3RD,FALSE,56,240,7754,1550.4,61.3
KXARPRIMARY,FALSE,18,136,7749,3444.92,30.34
