date,resource_description,volume
2025-03-20,CBBM-MMR1G20-M,103
2025-03-20,CBBM-MMR1G21-M,4
2025-03-20,CBBM-MMR1G22-M,1
2025-03-20,CBBM-MMR1G23-M,87
2025-03-20,CBBM-MMR1G24-M,1
2025-03-20,CBBM-MMR1G25-M,3
2025-03-20,CBBM-MMR1G26-M,8
2025-03-20,CBBM-MMR1G27-M,38
2025-03-20,CBBM-MMR1G28-M,156
2025-03-20,CBBM-MMR1G29-M,93
2025-03-20,CBBM-MMR1G3-M,5
2025-03-20,CBBM-MMR1G30-M,9
2025-03-20,CBBM-MMR1G31-M,5
2025-03-20,CBBM-MMR1G32-M,9
2025-03-20,CBBM-MMR1G4-M,1
2025-03-20,CBBM-MMR1G5-M,6
2025-03-20,CBBM-MMR1G6-M,18
2025-03-20,CBBM-MMR1G7-M,12
2025-03-20,CBBM-MMR1G8-M,106
2025-03-20,CBBM-MMR1G9-M,70
2025-03-20,CBBM-WNCHP,426
2025-03-20,CBBM-WNNIT,14
2025-03-20,CBBW-WNCHP,27
2025-03-20,EPL-WNCHP,10
2025-03-20,NBA-W22G15-M,26
2025-03-20,NBA-W22G16-M,5
2025-03-20,NBA-W22G17-M,10
2025-03-20,NBA-W22G18-M,21
2025-03-20,NBA-W22G19-M,16
2025-03-20,NBA-W22G20-M,7
2025-03-20,NBA-W22G21-M,14
2025-03-20,NBA-W22G22-M,76
2025-03-20,NBA-W22G23-M,80
2025-03-20,NBA-W22G24-M,27
2025-03-20,NBA-W22G25-M,23
2025-03-20,NBA-W22G26-M,18
2025-03-20,NBA-W22G27-M,7
2025-03-20,NBA-W22G28-M,4
2025-03-20,NBA-W22G29-M,9
2025-03-20,NBA-W22G30-M,34
2025-03-20,NBA-W22G31-M,2
2025-03-20,NBA-W22G34-M,2
2025-03-20,NBA-W22G36-M,1
2025-03-20,NBA-W22G37-M,2
2025-03-20,NBA-W22G38-M,1
2025-03-20,NBA-W22G40-M,1
2025-03-20,NBA-W22G42-M,1
2025-03-20,NBA-W22G46-M,1
2025-03-20,NBA-W22G47-M,1
2025-03-20,NBA-W22G53-M,1
2025-03-20,NBA-WNCHP,123
2025-03-20,NHL-WNCHP,21
2025-03-20,UCL-WNCHP,110
2025-03-20,UEL-WNCHP,2
2025-03-21,CBBM-MMR1G1-M,120
2025-03-21,CBBM-MMR1G10-M,81
2025-03-21,CBBM-MMR1G12-M,170
2025-03-21,CBBM-MMR1G13-M,21
2025-03-21,CBBM-MMR1G14-M,15
2025-03-21,CBBM-MMR1G15-M,15
2025-03-21,CBBM-MMR1G18-M,12
2025-03-21,CBBM-MMR1G19-M,28
2025-03-21,CBBM-MMR1G2-M,32
2025-03-21,CBBM-MMR1G20-M,3
2025-03-21,CBBM-MMR1G21-M,23
2025-03-21,CBBM-MMR1G22-M,15
2025-03-21,CBBM-MMR1G24-M,51
2025-03-21,CBBM-MMR1G25-M,72
2025-03-21,CBBM-MMR1G26-M,80
2025-03-21,CBBM-MMR1G27-M,59
2025-03-21,CBBM-MMR1G3-M,16
2025-03-21,CBBM-MMR1G30-M,116
2025-03-21,CBBM-MMR1G31-M,6
2025-03-21,CBBM-MMR1G32-M,51
2025-03-21,CBBM-MMR1G4-M,9
2025-03-21,CBBM-MMR1G5-M,78
2025-03-21,CBBM-MMR1G6-M,21
2025-03-21,CBBM-MMR1G7-M,41
2025-03-21,CBBM-MMR1G8-M,1
2025-03-21,CBBM-MMR1G9-M,47
2025-03-21,CBBM-MMR2G1-M,25
2025-03-21,CBBM-MMR2G2-M,3
2025-03-21,CBBM-MMR2G4-M,2
2025-03-21,CBBM-MMR2G7-M,61
2025-03-21,CBBM-MMR2G8-M,3
2025-03-21,CBBM-WNCHP,387
2025-03-21,CBBM-WNNIT,8
2025-03-21,CBBW-WNCHP,22
2025-03-21,EPL-WNCHP,56
2025-03-21,NBA-W22G26-M,7
2025-03-21,NBA-W22G27-M,71
2025-03-21,NBA-W22G28-M,9
